locus	erv.assigned	CLADE	locus_name
RETROSEQ_chr2:32841417-32841568	cPa391	Beta-like2	ERV-AB2.cPa391.414-CamPar
RETROSEQ_chr2:32859350-32859450	cPa220	Beta-like1	ERV-AB1.cPa220.133-CamPar
RETROSEQ_chr2:32872377-32872477	cPa104	Beta-like1	ERV-AB1.cPa104.58-CamPar
RETROSEQ_chr2:32878186-32878303	cPa391	Beta-like2	ERV-AB2.cPa391.415-CamPar
RETROSEQ_chr2:32890234-32890334	cPa205	Gamma-like	ERV-GE.cPa205.49-CamPar
RETROSEQ_chr2:33160209-33160309	cPa540	Beta-like1	ERV-AB1.cPa540.48-CamPar
RETROSEQ_chr2:33210782-33210882	cPa140	SnRV-like	ERV-S.cPa140.753-CamPar
RETROSEQ_chr2:33210890-33210990	cPa248	SnRV-like	ERV-S.cPa248.291-CamPar
RETROSEQ_chr2:33325890-33325990	cPa201	Gamma-like	ERV-GE.cPa201.79-CamPar
RETROSEQ_chr2:33375833-33375934	cPa220	Beta-like1	ERV-AB1.cPa220.134-CamPar
RETROSEQ_chr2:33563056-33563279	cPa205	Gamma-like	ERV-GE.cPa205.50-CamPar
RETROSEQ_chr2:33568149-33568249	cPa450	Gamma-like	ERV-GE.cPa450.310-CamPar
RETROSEQ_chr2:33685422-33685522	HTLV2_M10060	Delta	ERV-HTLV2.3-CamPar
RETROSEQ_chr2:33865209-33865344	cPa358	Gamma-like	ERV-GE.cPa358.14-CamPar
RETROSEQ_chr2:34192240-34192439	cPa285	Beta-like1	ERV-AB1.cPa285.22-CamPar
RETROSEQ_chr2:34267082-34267214	cPa140	SnRV-like	ERV-S.cPa140.754-CamPar
RETROSEQ_chr2:34293345-34293505	cPa452	Beta-like1	ERV-AB1.cPa452.615-CamPar
RETROSEQ_chr2:34366415-34366515	cPa140	SnRV-like	ERV-S.cPa140.755-CamPar
RETROSEQ_chr2:34408721-34408821	cPa391	Beta-like2	ERV-AB2.cPa391.416-CamPar
RETROSEQ_chr2:34417015-34417191	cPa140	SnRV-like	ERV-S.cPa140.756-CamPar
RETROSEQ_chr2:34508518-34508720	cPa391	Beta-like2	ERV-AB2.cPa391.417-CamPar
RETROSEQ_chr2:34680963-34681063	cPa529	Beta-like1	ERV-AB1.cPa529.275-CamPar
RETROSEQ_chr2:34790728-34790828	cPa248	SnRV-like	ERV-S.cPa248.292-CamPar
RETROSEQ_chr2:34813600-34813718	cPa248	SnRV-like	ERV-S.cPa248.293-CamPar
RETROSEQ_chr2:34822202-34822302	cPa140	SnRV-like	ERV-S.cPa140.757-CamPar
RETROSEQ_chr2:34932332-34932548	cPa452	Beta-like1	ERV-AB1.cPa452.616-CamPar
RETROSEQ_chr2:34949562-34949669	cPa220	Beta-like1	ERV-AB1.cPa220.135-CamPar
RETROSEQ_chr2:35094858-35094986	cPa101	Beta-like1	ERV-AB1.cPa101.53-CamPar
RETROSEQ_chr2:35098286-35098386	cPa140	SnRV-like	ERV-S.cPa140.758-CamPar
RETROSEQ_chr2:35125697-35125797	cPa391	Beta-like2	ERV-AB2.cPa391.418-CamPar
RETROSEQ_chr2:35256487-35256587	cPa140	SnRV-like	ERV-S.cPa140.759-CamPar
RETROSEQ_chr2:35324050-35324221	cPa363	Beta-like1	ERV-AB1.cPa363.304-CamPar
RETROSEQ_chr2:35356581-35356703	cPa140	SnRV-like	ERV-S.cPa140.760-CamPar
RETROSEQ_chr2:35371552-35371652	cPa199	Beta-like2	ERV-AB2.cPa199.395-CamPar
RETROSEQ_chr2:35371671-35371930	cPa199	Beta-like2	ERV-AB2.cPa199.396-CamPar
RETROSEQ_chr2:35433392-35433492	cPa452	Beta-like1	ERV-AB1.cPa452.617-CamPar
RETROSEQ_chr2:35433556-35433670	cPa452	Beta-like1	ERV-AB1.cPa452.618-CamPar
RETROSEQ_chr2:35437190-35437290	cPa391	Beta-like2	ERV-AB2.cPa391.419-CamPar
RETROSEQ_chr2:35478541-35478641	cPa71	Beta-like1	ERV-AB1.cPa71.26-CamPar
RETROSEQ_chr2:35524551-35524760	cPa452	Beta-like1	ERV-AB1.cPa452.619-CamPar
RETROSEQ_chr2:35707863-35707963	HERV-XA34_repbase_HERVFH21I_LTR21A	Gamma-like	ERV-HERVXA34.122-CamPar
RETROSEQ_chr2:35713585-35713685	cPa452	Beta-like1	ERV-AB1.cPa452.620-CamPar
RETROSEQ_chr2:35774367-35774467	cPa333	Beta-like1	ERV-AB1.cPa333.84-CamPar
RETROSEQ_chr2:35815025-35815125	cPa224	Alpha-like	ERV-AB.cPa224.80-CamPar
RETROSEQ_chr2:35819540-35819667	cPa363	Beta-like1	ERV-AB1.cPa363.305-CamPar
RETROSEQ_chr2:35849304-35849404	cPa452	Beta-like1	ERV-AB1.cPa452.621-CamPar
RETROSEQ_chr2:35894415-35894515	HML1b_repbase_HERV-K14I_LTR14A	Beta-like	ERV-K(HML1b).3-CamPar
RETROSEQ_chr2:35897328-35897428	cPa224	Alpha-like	ERV-AB.cPa224.81-CamPar
RETROSEQ_chr2:35929867-35929967	cPa264	SnRV-like	ERV-S.cPa264.87-CamPar
RETROSEQ_chr2:36102524-36102624	cPa583	Gamma-like	ERV-GE.cPa583.31-CamPar
RETROSEQ_chr2:36103157-36103257	cPa290	Beta-like1	ERV-AB1.cPa290.13-CamPar
RETROSEQ_chr2:36126436-36126536	cPa452	Beta-like1	ERV-AB1.cPa452.622-CamPar
RETROSEQ_chr2:36159777-36159877	cPa452	Beta-like1	ERV-AB1.cPa452.623-CamPar
RETROSEQ_chr2:36159960-36160077	cPa363	Beta-like1	ERV-AB1.cPa363.306-CamPar
RETROSEQ_chr2:36210597-36210720	cPa140	SnRV-like	ERV-S.cPa140.761-CamPar
RETROSEQ_chr2:36213676-36213836	cPa452	Beta-like1	ERV-AB1.cPa452.624-CamPar
RETROSEQ_chr2:36268216-36268378	cPa255	Beta-like1	ERV-AB1.cPa255.19-CamPar
RETROSEQ_chr2:36403908-36404008	cPa363	Beta-like1	ERV-AB1.cPa363.307-CamPar
RETROSEQ_chr2:36406518-36406633	cPa529	Beta-like1	ERV-AB1.cPa529.276-CamPar
RETROSEQ_chr2:36423812-36423922	cPa157	Beta-like2	ERV-AB2.cPa157.74-CamPar
RETROSEQ_chr2:36445511-36445722	cPa452	Beta-like1	ERV-AB1.cPa452.625-CamPar
RETROSEQ_chr2:36445726-36445975	cPa452	Beta-like1	ERV-AB1.cPa452.626-CamPar
RETROSEQ_chr2:36446660-36446760	cPa391	Beta-like2	ERV-AB2.cPa391.420-CamPar
RETROSEQ_chr2:36456452-36456552	cPa363	Beta-like1	ERV-AB1.cPa363.308-CamPar
RETROSEQ_chr2:36456564-36456664	cPa363	Beta-like1	ERV-AB1.cPa363.309-CamPar
RETROSEQ_chr2:36527267-36527430	cPa140	SnRV-like	ERV-S.cPa140.762-CamPar
RETROSEQ_chr2:36531889-36531990	cPa529	Beta-like1	ERV-AB1.cPa529.277-CamPar
RETROSEQ_chr2:36583814-36584083	cPa257	Beta-like1	ERV-AB1.cPa257.63-CamPar
RETROSEQ_chr2:36806556-36806656	cPa426	Beta-like2	ERV-AB2.cPa426.2-CamPar
RETROSEQ_chr2:36891925-36892025	cPa101	Beta-like1	ERV-AB1.cPa101.54-CamPar
RETROSEQ_chr2:37263248-37263373	cPa131	Beta-like1	ERV-AB1.cPa131.14-CamPar
RETROSEQ_chr2:37402298-37402398	cPa257	Beta-like1	ERV-AB1.cPa257.64-CamPar
RETROSEQ_chr2:37402455-37402579	cPa257	Beta-like1	ERV-AB1.cPa257.65-CamPar
DELLY_chr2:37426655-37427236	cPa50	Beta-like1	ERV-AB1.cPa50.36-CamPar
RETROSEQ_chr2:37543774-37543874	cPa109	Gamma-like	ERV-GE.cPa109.94-CamPar
RETROSEQ_chr2:37556284-37556470	cPa246	Beta-like1	ERV-AB1.cPa246.16-CamPar
RETROSEQ_chr2:37559007-37559174	cPa529	Beta-like1	ERV-AB1.cPa529.278-CamPar
RETROSEQ_chr2:37632307-37632424	cPa220	Beta-like1	ERV-AB1.cPa220.136-CamPar
RETROSEQ_chr2:37838550-37838650	cPa363	Beta-like1	ERV-AB1.cPa363.310-CamPar
RETROSEQ_chr2:38084064-38084164	cPa248	SnRV-like	ERV-S.cPa248.294-CamPar
RETROSEQ_chr2:38129076-38129187	cPa101	Beta-like1	ERV-AB1.cPa101.55-CamPar
RETROSEQ_chr2:38270841-38271041	cPa363	Beta-like1	ERV-AB1.cPa363.311-CamPar
RETROSEQ_chr2:38325831-38325931	PERV_AJ293656	Gamma	ERV-PERV.111-CamPar
RETROSEQ_chr2:38359189-38359289	cPa241	Beta-like1	ERV-AB1.cPa241.35-CamPar
RETROSEQ_chr2:38363987-38364098	cPa452	Beta-like1	ERV-AB1.cPa452.627-CamPar
RETROSEQ_chr2:38369485-38369596	cPa142	Beta-like1	ERV-AB1.cPa142.74-CamPar
RETROSEQ_chr2:38435015-38435115	cPa241	Beta-like1	ERV-AB1.cPa241.36-CamPar
RETROSEQ_chr2:38577537-38577637	cPa140	SnRV-like	ERV-S.cPa140.763-CamPar
RETROSEQ_chr2:38603648-38603748	cPa529	Beta-like1	ERV-AB1.cPa529.279-CamPar
RETROSEQ_chr2:38649419-38649558	cPa443	SnRV-like	ERV-S.cPa443.134-CamPar
RETROSEQ_chr2:38686046-38686146	PRIMA41_repbase_PRIMA41_MER41A	Gamma-like	ERV-PRIMA41.7-CamPar
RETROSEQ_chr2:38919767-38919872	cPa308	Beta-like2	ERV-AB2.cPa308.143-CamPar
RETROSEQ_chr2:38921794-38921894	cPa452	Beta-like1	ERV-AB1.cPa452.628-CamPar
RETROSEQ_chr2:39029941-39030053	cPa140	SnRV-like	ERV-S.cPa140.764-CamPar
RETROSEQ_chr2:39035003-39035153	cPa246	Beta-like1	ERV-AB1.cPa246.17-CamPar
RETROSEQ_chr2:39060278-39060439	cPa391	Beta-like2	ERV-AB2.cPa391.421-CamPar
RETROSEQ_chr2:39126328-39126428	PERVC_HM159246	Gamma	ERV-PERVC.24-CamPar
RETROSEQ_chr2:39128302-39128421	cPa109	Gamma-like	ERV-GE.cPa109.95-CamPar
RETROSEQ_chr2:39144692-39144792	cPa353	Beta-like2	ERV-AB2.cPa353.57-CamPar
RETROSEQ_chr2:39257537-39257644	cPa529	Beta-like1	ERV-AB1.cPa529.280-CamPar
RETROSEQ_chr2:39258919-39259019	cPa109	Gamma-like	ERV-GE.cPa109.96-CamPar
RETROSEQ_chr2:39341710-39341810	cPa62	Gamma-like	ERV-GE.cPa62.19-CamPar
DELLY_chr2:39441159-39447696	cPa140	SnRV-like	ERV-S.cPa140.765-CamPar
RETROSEQ_chr2:39450878-39451325	cPa183	Beta-like1	ERV-AB1.cPa183.124-CamPar
RETROSEQ_chr2:39480394-39480494	cPa529	Beta-like1	ERV-AB1.cPa529.281-CamPar
RETROSEQ_chr2:39483078-39483178	cPa391	Beta-like2	ERV-AB2.cPa391.422-CamPar
RETROSEQ_chr2:39498511-39498611	cPa220	Beta-like1	ERV-AB1.cPa220.137-CamPar
RETROSEQ_chr2:39584350-39584450	cPa200	Beta-like1	ERV-AB1.cPa200.23-CamPar
RETROSEQ_chr2:39612653-39612753	cPa363	Beta-like1	ERV-AB1.cPa363.312-CamPar
RETROSEQ_chr2:39649273-39649373	cPa452	Beta-like1	ERV-AB1.cPa452.629-CamPar
RETROSEQ_chr2:39714654-39714754	cPa452	Beta-like1	ERV-AB1.cPa452.630-CamPar
RETROSEQ_chr2:39974471-39974625	cPa452	Beta-like1	ERV-AB1.cPa452.631-CamPar
RETROSEQ_chr2:39985635-39985787	cPa333	Beta-like1	ERV-AB1.cPa333.85-CamPar
RETROSEQ_chr2:40011446-40011617	cPa363	Beta-like1	ERV-AB1.cPa363.313-CamPar
RETROSEQ_chr2:40011635-40011893	cPa452	Beta-like1	ERV-AB1.cPa452.632-CamPar
RETROSEQ_chr2:40046064-40046164	cPa452	Beta-like1	ERV-AB1.cPa452.633-CamPar
RETROSEQ_chr2:40046574-40046674	cPa452	Beta-like1	ERV-AB1.cPa452.634-CamPar
RETROSEQ_chr2:40062143-40062243	cPa220	Beta-like1	ERV-AB1.cPa220.138-CamPar
RETROSEQ_chr2:40065671-40065771	cPa363	Beta-like1	ERV-AB1.cPa363.314-CamPar
RETROSEQ_chr2:40121720-40121820	cPa363	Beta-like1	ERV-AB1.cPa363.315-CamPar
RETROSEQ_chr2:40287864-40287978	cPa443	SnRV-like	ERV-S.cPa443.135-CamPar
RETROSEQ_chr2:40387343-40387480	cPa529	Beta-like1	ERV-AB1.cPa529.282-CamPar
RETROSEQ_chr2:40522711-40522811	cPa391	Beta-like2	ERV-AB2.cPa391.423-CamPar
RETROSEQ_chr2:40540177-40540357	cPa140	SnRV-like	ERV-S.cPa140.766-CamPar
RETROSEQ_chr2:40542480-40542580	cPa248	SnRV-like	ERV-S.cPa248.295-CamPar
RETROSEQ_chr2:40561725-40561840	cPa241	Beta-like1	ERV-AB1.cPa241.37-CamPar
RETROSEQ_chr2:40583735-40583853	cPa521	Beta-like2	ERV-AB2.cPa521.14-CamPar
RETROSEQ_chr2:40615130-40615230	cPa131	Beta-like1	ERV-AB1.cPa131.15-CamPar
RETROSEQ_chr2:40615329-40615429	cPa104	Beta-like1	ERV-AB1.cPa104.59-CamPar
RETROSEQ_chr2:40662196-40662296	cPa127	Beta-like1	ERV-AB1.cPa127.67-CamPar
RETROSEQ_chr2:40662358-40662481	cPa241	Beta-like1	ERV-AB1.cPa241.38-CamPar
RETROSEQ_chr2:40677321-40677477	cPa140	SnRV-like	ERV-S.cPa140.767-CamPar
RETROSEQ_chr2:40678024-40678124	cPa523	Beta-like1	ERV-AB1.cPa523.15-CamPar
RETROSEQ_chr2:40722831-40723016	cPa104	Beta-like1	ERV-AB1.cPa104.60-CamPar
RETROSEQ_chr2:40863320-40863420	cPa246	Beta-like1	ERV-AB1.cPa246.18-CamPar
RETROSEQ_chr2:40876400-40876500	cPa529	Beta-like1	ERV-AB1.cPa529.283-CamPar
RETROSEQ_chr2:40890241-40890341	CAEV_NC001463	Lenti	ERV-CAEV.14-CamPar
RETROSEQ_chr2:40895088-40895201	cPa545	Beta-like1	ERV-AB1.cPa545.19-CamPar
RETROSEQ_chr2:40902294-40902394	cPa529	Beta-like1	ERV-AB1.cPa529.284-CamPar
RETROSEQ_chr2:40917347-40917447	cPa452	Beta-like1	ERV-AB1.cPa452.635-CamPar
RETROSEQ_chr2:40917456-40917602	cPa363	Beta-like1	ERV-AB1.cPa363.316-CamPar
RETROSEQ_chr2:40917744-40917844	cPa452	Beta-like1	ERV-AB1.cPa452.636-CamPar
DELLY_chr2:40965757-40966536	cPa255	Beta-like1	ERV-AB1.cPa255.20-CamPar
RETROSEQ_chr2:40975988-40976171	cPa199	Beta-like2	ERV-AB2.cPa199.397-CamPar
RETROSEQ_chr2:40976539-40976728	cPa452	Beta-like1	ERV-AB1.cPa452.637-CamPar
RETROSEQ_chr2:40981428-40981534	cPa101	Beta-like1	ERV-AB1.cPa101.56-CamPar
RETROSEQ_chr2:41024541-41024665	cPa290	Beta-like1	ERV-AB1.cPa290.14-CamPar
RETROSEQ_chr2:41155106-41155206	cPa62	Gamma-like	ERV-GE.cPa62.20-CamPar
RETROSEQ_chr2:41245393-41245512	cPa104	Beta-like1	ERV-AB1.cPa104.61-CamPar
RETROSEQ_chr2:41278406-41278506	cPa109	Gamma-like	ERV-GE.cPa109.97-CamPar
RETROSEQ_chr2:41300130-41300230	cPa308	Beta-like2	ERV-AB2.cPa308.144-CamPar
RETROSEQ_chr2:41300244-41300379	cPa308	Beta-like2	ERV-AB2.cPa308.145-CamPar
RETROSEQ_chr2:41306284-41306384	cPa452	Beta-like1	ERV-AB1.cPa452.638-CamPar
RETROSEQ_chr2:41306474-41306683	cPa452	Beta-like1	ERV-AB1.cPa452.639-CamPar
RETROSEQ_chr2:41314301-41314401	cPa157	Beta-like2	ERV-AB2.cPa157.75-CamPar
RETROSEQ_chr2:41332118-41332221	cPa247	Beta-like1	ERV-AB1.cPa247.19-CamPar
RETROSEQ_chr2:41355412-41355512	cPa257	Beta-like1	ERV-AB1.cPa257.66-CamPar
RETROSEQ_chr2:41426033-41426133	cPa15	SnRV-like	ERV-S.cPa15.127-CamPar
RETROSEQ_chr2:41430787-41430887	cPa18	Beta-like1	ERV-AB1.cPa18.45-CamPar
RETROSEQ_chr2:41430919-41431027	cPa104	Beta-like1	ERV-AB1.cPa104.62-CamPar
RETROSEQ_chr2:41454249-41454481	cPa452	Beta-like1	ERV-AB1.cPa452.640-CamPar
RETROSEQ_chr2:41470968-41471068	cPa391	Beta-like2	ERV-AB2.cPa391.424-CamPar
RETROSEQ_chr2:41472017-41472117	cPa61	Gamma-like	ERV-GE.cPa61.51-CamPar
RETROSEQ_chr2:41472882-41472982	cPa332	Beta-like2	ERV-AB2.cPa332.46-CamPar
RETROSEQ_chr2:41531708-41531831	cPa11	Beta-like1	ERV-AB1.cPa11.19-CamPar
RETROSEQ_chr2:41562646-41562746	cPa391	Beta-like2	ERV-AB2.cPa391.425-CamPar
RETROSEQ_chr2:41562757-41562911	cPa391	Beta-like2	ERV-AB2.cPa391.426-CamPar
RETROSEQ_chr2:41571085-41571185	cPa220	Beta-like1	ERV-AB1.cPa220.139-CamPar
RETROSEQ_chr2:41580967-41581067	cPa529	Beta-like1	ERV-AB1.cPa529.285-CamPar
RETROSEQ_chr2:41600922-41601190	cPa452	Beta-like1	ERV-AB1.cPa452.641-CamPar
RETROSEQ_chr2:41725592-41725692	cPa450	Gamma-like	ERV-GE.cPa450.311-CamPar
RETROSEQ_chr2:41778444-41778563	cPa257	Beta-like1	ERV-AB1.cPa257.67-CamPar
RETROSEQ_chr2:41861935-41862206	cPa583	Gamma-like	ERV-GE.cPa583.32-CamPar
RETROSEQ_chr2:42060124-42060224	cPa140	SnRV-like	ERV-S.cPa140.768-CamPar
RETROSEQ_chr2:42108059-42108178	cPa142	Beta-like1	ERV-AB1.cPa142.75-CamPar
RETROSEQ_chr2:42118916-42119026	cPa333	Beta-like1	ERV-AB1.cPa333.86-CamPar
RETROSEQ_chr2:42363758-42363910	cPa140	SnRV-like	ERV-S.cPa140.769-CamPar
RETROSEQ_chr2:42425911-42426011	cPa391	Beta-like2	ERV-AB2.cPa391.427-CamPar
RETROSEQ_chr2:42463752-42463852	cPa194	Beta-like1	ERV-AB1.cPa194.369-CamPar
RETROSEQ_chr2:42518451-42518551	cPa201	Gamma-like	ERV-GE.cPa201.80-CamPar
RETROSEQ_chr2:42518643-42518745	cPa201	Gamma-like	ERV-GE.cPa201.81-CamPar
RETROSEQ_chr2:42720999-42721108	cPa452	Beta-like1	ERV-AB1.cPa452.642-CamPar
RETROSEQ_chr2:42829317-42829417	cPa127	Beta-like1	ERV-AB1.cPa127.68-CamPar
RETROSEQ_chr2:42848403-42848503	cPa290	Beta-like1	ERV-AB1.cPa290.15-CamPar
RETROSEQ_chr2:42850726-42851024	cPa391	Beta-like2	ERV-AB2.cPa391.428-CamPar
RETROSEQ_chr2:43148525-43148630	cPa257	Beta-like1	ERV-AB1.cPa257.68-CamPar
RETROSEQ_chr2:43159858-43159958	HERV-XA34_repbase_HERVFH21I_LTR21A	Gamma-like	ERV-HERVXA34.123-CamPar
RETROSEQ_chr2:43194337-43194437	cPa452	Beta-like1	ERV-AB1.cPa452.643-CamPar
RETROSEQ_chr2:43241774-43241882	cPa247	Beta-like1	ERV-AB1.cPa247.20-CamPar
RETROSEQ_chr2:43243512-43243612	cPa224	Alpha-like	ERV-AB.cPa224.82-CamPar
RETROSEQ_chr2:43253131-43253265	cPa140	SnRV-like	ERV-S.cPa140.770-CamPar
RETROSEQ_chr2:43269520-43269620	cPa540	Beta-like1	ERV-AB1.cPa540.49-CamPar
RETROSEQ_chr2:43292539-43292639	cPa190	Beta-like1	ERV-AB1.cPa190.32-CamPar
RETROSEQ_chr2:43327840-43327940	cPa220	Beta-like1	ERV-AB1.cPa220.140-CamPar
RETROSEQ_chr2:43330401-43330501	cPa140	SnRV-like	ERV-S.cPa140.771-CamPar
RETROSEQ_chr2:43365198-43365477	cPa452	Beta-like1	ERV-AB1.cPa452.644-CamPar
RETROSEQ_chr2:43366773-43366873	cPa452	Beta-like1	ERV-AB1.cPa452.645-CamPar
RETROSEQ_chr2:43407050-43407150	CAEV_NC001463	Lenti	ERV-CAEV.15-CamPar
RETROSEQ_chr2:43407152-43407346	CAEV_NC001463	Lenti	ERV-CAEV.16-CamPar
RETROSEQ_chr2:43666518-43666771	SIV_NC001549	Lenti	ERV-SIV.10-CamPar
RETROSEQ_chr2:43754012-43754112	cPa201	Gamma-like	ERV-GE.cPa201.82-CamPar
RETROSEQ_chr2:43763687-43763887	cPa140	SnRV-like	ERV-S.cPa140.772-CamPar
RETROSEQ_chr2:43796070-43796182	cPa248	SnRV-like	ERV-S.cPa248.296-CamPar
RETROSEQ_chr2:43833537-43833656	cPa251	Gamma-like	ERV-GE.cPa251.3-CamPar
RETROSEQ_chr2:43860649-43860749	cPa224	Alpha-like	ERV-AB.cPa224.83-CamPar
RETROSEQ_chr2:43864093-43864193	cPa194	Beta-like1	ERV-AB1.cPa194.370-CamPar
RETROSEQ_chr2:43890548-43890648	cPa363	Beta-like1	ERV-AB1.cPa363.317-CamPar
RETROSEQ_chr2:43895169-43895283	cPa452	Beta-like1	ERV-AB1.cPa452.646-CamPar
RETROSEQ_chr2:44084885-44084985	cPa241	Beta-like1	ERV-AB1.cPa241.39-CamPar
RETROSEQ_chr2:44086837-44086937	JSRV_DQ838494	Beta	ERV-JSRV.3-CamPar
RETROSEQ_chr2:44125209-44125444	cPa363	Beta-like1	ERV-AB1.cPa363.318-CamPar
RETROSEQ_chr2:44210854-44210954	cPa363	Beta-like1	ERV-AB1.cPa363.319-CamPar
RETROSEQ_chr2:44337260-44337378	cPa127	Beta-like1	ERV-AB1.cPa127.69-CamPar
RETROSEQ_chr2:44425678-44425865	cPa452	Beta-like1	ERV-AB1.cPa452.647-CamPar
RETROSEQ_chr2:44433797-44433897	cPa220	Beta-like1	ERV-AB1.cPa220.141-CamPar
RETROSEQ_chr2:44442783-44442897	cPa241	Beta-like1	ERV-AB1.cPa241.40-CamPar
RETROSEQ_chr2:44485903-44486003	cPa452	Beta-like1	ERV-AB1.cPa452.648-CamPar
RETROSEQ_chr2:44494288-44494391	cPa131	Beta-like1	ERV-AB1.cPa131.16-CamPar
RETROSEQ_chr2:44494404-44494543	cPa131	Beta-like1	ERV-AB1.cPa131.17-CamPar
RETROSEQ_chr2:44512473-44512614	cPa452	Beta-like1	ERV-AB1.cPa452.649-CamPar
RETROSEQ_chr2:44512660-44512835	cPa452	Beta-like1	ERV-AB1.cPa452.650-CamPar
RETROSEQ_chr2:44512898-44512998	cPa452	Beta-like1	ERV-AB1.cPa452.651-CamPar
RETROSEQ_chr2:44541842-44541999	cPa529	Beta-like1	ERV-AB1.cPa529.286-CamPar
RETROSEQ_chr2:44567472-44567572	cPa391	Beta-like2	ERV-AB2.cPa391.429-CamPar
RETROSEQ_chr2:44574443-44574543	cPa443	SnRV-like	ERV-S.cPa443.136-CamPar
RETROSEQ_chr2:44669278-44669378	cPa452	Beta-like1	ERV-AB1.cPa452.652-CamPar
RETROSEQ_chr2:44670072-44670172	cPa452	Beta-like1	ERV-AB1.cPa452.653-CamPar
RETROSEQ_chr2:44670239-44670362	cPa452	Beta-like1	ERV-AB1.cPa452.654-CamPar
RETROSEQ_chr2:44683435-44683605	cPa150	Beta-like1	ERV-AB1.cPa150.37-CamPar
RETROSEQ_chr2:44687923-44688023	cPa127	Beta-like1	ERV-AB1.cPa127.70-CamPar
RETROSEQ_chr2:44711573-44711673	cPa257	Beta-like1	ERV-AB1.cPa257.69-CamPar
RETROSEQ_chr2:44720295-44720395	cPa529	Beta-like1	ERV-AB1.cPa529.287-CamPar
RETROSEQ_chr2:44724044-44724144	cPa142	Beta-like1	ERV-AB1.cPa142.76-CamPar
RETROSEQ_chr2:44724221-44724325	cPa142	Beta-like1	ERV-AB1.cPa142.77-CamPar
RETROSEQ_chr2:44786569-44786849	cPa542	Beta-like1	ERV-AB1.cPa542.101-CamPar
RETROSEQ_chr2:44803061-44803161	cPa529	Beta-like1	ERV-AB1.cPa529.288-CamPar
RETROSEQ_chr2:44853811-44854054	cPa127	Beta-like1	ERV-AB1.cPa127.71-CamPar
RETROSEQ_chr2:44880318-44880418	cPa220	Beta-like1	ERV-AB1.cPa220.142-CamPar
RETROSEQ_chr2:44902845-44902959	cPa15	SnRV-like	ERV-S.cPa15.128-CamPar
RETROSEQ_chr2:45039591-45039723	cPa104	Beta-like1	ERV-AB1.cPa104.63-CamPar
RETROSEQ_chr2:45074818-45075002	cPa529	Beta-like1	ERV-AB1.cPa529.289-CamPar
RETROSEQ_chr2:45081338-45081438	cPa529	Beta-like1	ERV-AB1.cPa529.290-CamPar
RETROSEQ_chr2:45269853-45269997	HERV-XA34_repbase_HERVFH21I_LTR21A	Gamma-like	ERV-HERVXA34.124-CamPar
RETROSEQ_chr2:45271495-45271606	cPa452	Beta-like1	ERV-AB1.cPa452.655-CamPar
RETROSEQ_chr2:45309019-45309119	cPa140	SnRV-like	ERV-S.cPa140.773-CamPar
RETROSEQ_chr2:45349380-45349480	cPa363	Beta-like1	ERV-AB1.cPa363.320-CamPar
RETROSEQ_chr2:45349503-45349816	cPa452	Beta-like1	ERV-AB1.cPa452.656-CamPar
RETROSEQ_chr2:45375779-45375916	cPa241	Beta-like1	ERV-AB1.cPa241.41-CamPar
RETROSEQ_chr2:45375934-45376163	cPa241	Beta-like1	ERV-AB1.cPa241.42-CamPar
RETROSEQ_chr2:45388632-45388732	MoMLV_J02255	Gamma	ERV-MoMLV.13-CamPar
RETROSEQ_chr2:45391674-45391801	cPa353	Beta-like2	ERV-AB2.cPa353.58-CamPar
RETROSEQ_chr2:45451556-45451656	cPa101	Beta-like1	ERV-AB1.cPa101.57-CamPar
RETROSEQ_chr2:45475427-45475555	cPa450	Gamma-like	ERV-GE.cPa450.312-CamPar
RETROSEQ_chr2:45484745-45484845	cPa452	Beta-like1	ERV-AB1.cPa452.657-CamPar
RETROSEQ_chr2:45599968-45600068	cPa391	Beta-like2	ERV-AB2.cPa391.430-CamPar
RETROSEQ_chr2:45604354-45604454	cPa127	Beta-like1	ERV-AB1.cPa127.72-CamPar
RETROSEQ_chr2:45615063-45615187	cPa142	Beta-like1	ERV-AB1.cPa142.78-CamPar
RETROSEQ_chr2:45648439-45648556	cPa220	Beta-like1	ERV-AB1.cPa220.143-CamPar
RETROSEQ_chr2:45702455-45702579	cPa127	Beta-like1	ERV-AB1.cPa127.73-CamPar
RETROSEQ_chr2:45728393-45728493	cPa140	SnRV-like	ERV-S.cPa140.774-CamPar
RETROSEQ_chr2:45769438-45769636	cPa199	Beta-like2	ERV-AB2.cPa199.398-CamPar
RETROSEQ_chr2:45777471-45777571	cPa140	SnRV-like	ERV-S.cPa140.775-CamPar
RETROSEQ_chr2:45778512-45778676	cPa140	SnRV-like	ERV-S.cPa140.776-CamPar
RETROSEQ_chr2:45953923-45954023	cPa285	Beta-like1	ERV-AB1.cPa285.23-CamPar
RETROSEQ_chr2:45966448-45966742	cPa183	Beta-like1	ERV-AB1.cPa183.125-CamPar
RETROSEQ_chr2:46084667-46084767	cPa11	Beta-like1	ERV-AB1.cPa11.20-CamPar
RETROSEQ_chr2:46114585-46114700	cPa140	SnRV-like	ERV-S.cPa140.777-CamPar
RETROSEQ_chr2:46114741-46114841	cPa248	SnRV-like	ERV-S.cPa248.297-CamPar
CNV_chr2:46208701-46219200	cPa142	Beta-like1	ERV-AB1.cPa142.79-CamPar
