locus,erv.assigned
RETROSEQ_chr1:620627-620727,FrMuLV_NC001362
RETROSEQ_chr1:62098981-62099163,cPa443
RETROSEQ_chr1:62099330-62099441,cPa140
RETROSEQ_chr1:62180261-62180361,cPa529
RETROSEQ_chr1:6218294-6218517,cPa199
RETROSEQ_chr1:62192700-62192800,cPa142
RETROSEQ_chr1:62207111-62207338,cPa542
RETROSEQ_chr1:62295209-62295309,CAEV_NC001463|HTLV1_NC001436
RETROSEQ_chr1:62302151-62302450,cPa452
RETROSEQ_chr1:62302489-62302589,cPa452
RETROSEQ_chr1:62303931-62304031,cPa220
RETROSEQ_chr1:62413588-62413688,cPa248
RETROSEQ_chr1:62651179-62651279,cPa248
RETROSEQ_chr1:62651289-62651389,cPa140
RETROSEQ_chr1:62662945-62663045,cPa157
RETROSEQ_chr1:62704723-62704823,cPa140
RETROSEQ_chr1:62714919-62715057,cPa452
RETROSEQ_chr1:62715243-62715343,cPa452
RETROSEQ_chr1:62779931-62780154,cPa15
RETROSEQ_chr1:62926935-62927035,cPa402
RETROSEQ_chr1:62927053-62927153,cPa402
RETROSEQ_chr1:63027668-63027768,cPa127
RETROSEQ_chr1:63042947-63043047,cPa104
RETROSEQ_chr1:63043154-63043297,cPa190
RETROSEQ_chr1:63198358-63198465,cPa452
RETROSEQ_chr1:632575-632847,cPa290
RETROSEQ_chr1:63349457-63349557,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:63625930-63626114,cPa452
RETROSEQ_chr1:6364256-6364399,cPa450
RETROSEQ_chr1:63666433-63666685,cPa452
RETROSEQ_chr1:63667475-63667860,cPa402
RETROSEQ_chr1:63677297-63677397,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:63723935-63724035,cPa379
RETROSEQ_chr1:63724048-63724149,cPa176
RETROSEQ_chr1:63724796-63724896,cPa176
RETROSEQ_chr1:63751682-63751782,cPa140
RETROSEQ_chr1:63771117-63771217,cPa140
RETROSEQ_chr1:6378592-6378759,cPa450
RETROSEQ_chr1:64006621-64006722,cPa248
RETROSEQ_chr1:64125554-64126008,cPa199|cPa542
RETROSEQ_chr1:6413622-6413744,cPa452
RETROSEQ_chr1:64138971-64139090,cPa247
RETROSEQ_chr1:64220680-64220911,cPa452
RETROSEQ_chr1:64253379-64253479,cPa572
RETROSEQ_chr1:64255053-64255153,cPa395
RETROSEQ_chr1:64362478-64362578,cPa452
RETROSEQ_chr1:64497307-64497407,cPa140
RETROSEQ_chr1:64542394-64542606,cPa140
RETROSEQ_chr1:64609711-64610028,cPa452
RETROSEQ_chr1:64664851-64664951,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:64828334-64828434,cPa308
RETROSEQ_chr1:64873178-64873340,cPa391
RETROSEQ_chr1:64964479-64964579,cPa205|cPa353
RETROSEQ_chr1:6498093-6498193,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:65107574-65107674,cPa142
RETROSEQ_chr1:65165772-65165872,cPa391
RETROSEQ_chr1:65211528-65211628,cPa140
RETROSEQ_chr1:65223786-65223886,cPa452
RETROSEQ_chr1:65223912-65224110,cPa363
RETROSEQ_chr1:6532755-6532855,cPa183
RETROSEQ_chr1:6532922-6533064,cPa363
RETROSEQ_chr1:6533092-6533192,cPa452
RETROSEQ_chr1:6538293-6538393,cPa482
RETROSEQ_chr1:65449336-65449436,cPa391
RETROSEQ_chr1:65481849-65481949,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:65568094-65568194,cPa391
RETROSEQ_chr1:6569080-6569180,cPa264
RETROSEQ_chr1:6569329-6569429,cPa264
RETROSEQ_chr1:6569721-6569821,cPa140
RETROSEQ_chr1:65705993-65706093,cPa529
RETROSEQ_chr1:65772192-65772292,cPa224
RETROSEQ_chr1:65772374-65772474,cPa224
RETROSEQ_chr1:65910913-65911015,cPa220
RETROSEQ_chr1:65961526-65961626,cPa142
RETROSEQ_chr1:65981416-65981516,cPa391
RETROSEQ_chr1:65981528-65981629,cPa391
RETROSEQ_chr1:66008060-66008160,cPa224
RETROSEQ_chr1:66019403-66019582,cPa142
RETROSEQ_chr1:66024270-66024370,cPa452
RETROSEQ_chr1:66130869-66130976,cPa4
RETROSEQ_chr1:66159908-66160102,cPa542
RETROSEQ_chr1:662558-662658,cPa260
RETROSEQ_chr1:66291555-66291670,cPa333
RETROSEQ_chr1:66423635-66423735,cPa510
RETROSEQ_chr1:664755-664905,cPa260
RETROSEQ_chr1:66638541-66638663,cPa248
RETROSEQ_chr1:66689158-66689258,cPa15
RETROSEQ_chr1:66919172-66919272,cPa273|cPa482
RETROSEQ_chr1:6701702-6701802,cPa194
RETROSEQ_chr1:6701972-6702072,cPa194
RETROSEQ_chr1:673128-673236,cPa228
RETROSEQ_chr1:67373440-67373540,cPa452
RETROSEQ_chr1:6743000-6743100,cPa391
RETROSEQ_chr1:67610109-67610264,cPa34
RETROSEQ_chr1:67611462-67611573,cPa188
RETROSEQ_chr1:67613243-67613343,cPa61
RETROSEQ_chr1:67711048-67711243,cPa140
RETROSEQ_chr1:67782972-67783072,cPa248
RETROSEQ_chr1:67840851-67841103,cPa482
RETROSEQ_chr1:6796007-6796136,cPa142
RETROSEQ_chr1:68062176-68062276,cPa109
RETROSEQ_chr1:68062289-68062389,cPa109
RETROSEQ_chr1:6832605-6832760,cPa183
RETROSEQ_chr1:6832853-6832992,cPa379
RETROSEQ_chr1:68402952-68403052,cPa140
RETROSEQ_chr1:6845164-6845264,cPa140
RETROSEQ_chr1:68607345-68607445,cPa140
RETROSEQ_chr1:68681008-68681144,cPa248
RETROSEQ_chr1:68732502-68732602,cPa140
RETROSEQ_chr1:68839954-68840068,cPa127
RETROSEQ_chr1:68933751-68933851,cPa140
RETROSEQ_chr1:68933862-68934008,cPa15
RETROSEQ_chr1:68984477-68984577,cPa402
RETROSEQ_chr1:69133022-69133122,cPa391
RETROSEQ_chr1:6925143-6925243,cPa194
RETROSEQ_chr1:6925564-6925664,cPa194
RETROSEQ_chr1:69320342-69320457,cPa264
RETROSEQ_chr1:6937769-6937869,cPa140
RETROSEQ_chr1:6937901-6938001,cPa140
RETROSEQ_chr1:69385165-69385265,cPa391
RETROSEQ_chr1:6945360-6945460,cPa248
RETROSEQ_chr1:69516121-69516221,cPa248
RETROSEQ_chr1:698460-698560,cPa228
RETROSEQ_chr1:69860707-69860807,cPa140
RETROSEQ_chr1:698700-698810,cPa228
RETROSEQ_chr1:6997356-6997529,cPa199|cPa450
RETROSEQ_chr1:69974588-69974688,cPa157
RETROSEQ_chr1:69996228-69996328,cPa529
RETROSEQ_chr1:70071560-70071660,cPa391
RETROSEQ_chr1:7013381-7013481,cPa452
RETROSEQ_chr1:70164075-70164189,cPa452
RETROSEQ_chr1:70214639-70214739,cPa530
RETROSEQ_chr1:70215179-70215300,cPa540
RETROSEQ_chr1:70256684-70257047,cPa248
RETROSEQ_chr1:7058587-7058687,cPa450
RETROSEQ_chr1:7071334-7071434,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:707434-707534,cPa260
RETROSEQ_chr1:70792565-70792665,cPa391
RETROSEQ_chr1:70895525-70895625,cPa15
RETROSEQ_chr1:709045-709196,HERVHcons
RETROSEQ_chr1:70979292-70979392,cPa140
RETROSEQ_chr1:71066208-71066308,cPa61
RETROSEQ_chr1:7113357-7113457,cPa472
RETROSEQ_chr1:71199042-71199161,cPa452
RETROSEQ_chr1:71253011-71253123,cPa140
RETROSEQ_chr1:7128082-7128193,cPa358
RETROSEQ_chr1:7139471-7139571,cPa391
RETROSEQ_chr1:71477584-71477750,cPa543
RETROSEQ_chr1:7154610-7154776,cPa273
RETROSEQ_chr1:7155966-7156066,cPa257
RETROSEQ_chr1:71711011-71711132,cPa452
RETROSEQ_chr1:71716819-71716919,BFV_NC001831
RETROSEQ_chr1:71754488-71754616,cPa140
RETROSEQ_chr1:71758231-71758351,cPa452
RETROSEQ_chr1:7185413-7185513,cPa264
RETROSEQ_chr1:71878414-71878514,cPa224
RETROSEQ_chr1:71878668-71878768,cPa224
RETROSEQ_chr1:7188620-7188775,cPa140
RETROSEQ_chr1:71904390-71904490,cPa391
RETROSEQ_chr1:71911127-71911303,cPa443
RETROSEQ_chr1:7192463-7192563,cPa140
RETROSEQ_chr1:7192585-7192685,cPa140
RETROSEQ_chr1:7193178-7193292,cPa452
RETROSEQ_chr1:72021884-72021984,cPa15
RETROSEQ_chr1:7204260-7204386,cPa256
RETROSEQ_chr1:7206855-7206955,cPa452
RETROSEQ_chr1:72071860-72071960,BFV_NC001831
RETROSEQ_chr1:7209718-7210030,cPa555
RETROSEQ_chr1:72118527-72118655,cPa540
RETROSEQ_chr1:72129764-72129864,cPa333
RETROSEQ_chr1:72134659-72134928,cPa333
RETROSEQ_chr1:72159008-72159211,cPa443
RETROSEQ_chr1:72161477-72161601,cPa241
RETROSEQ_chr1:7221533-7221650,cPa264
RETROSEQ_chr1:7221732-7221832,cPa264
RETROSEQ_chr1:72258852-72258952,BFV_NC001831
RETROSEQ_chr1:724034-724134,cPa260
RETROSEQ_chr1:724168-724286,cPa260
RETROSEQ_chr1:72454587-72454700,cPa205|cPa353|cPa62
RETROSEQ_chr1:725460-725560,cPa452
RETROSEQ_chr1:72708455-72708555,cPa142
RETROSEQ_chr1:72709425-72709540,cPa540
RETROSEQ_chr1:72722885-72722985,HML2_Pheonix
RETROSEQ_chr1:72731693-72731793,cPa227
RETROSEQ_chr1:72733010-72733115,BFV_NC001831
RETROSEQ_chr1:72780198-72780421,cPa452
RETROSEQ_chr1:72792171-72792271,BFV_NC001831
RETROSEQ_chr1:72817506-72817606,cPa391
RETROSEQ_chr1:7284753-7284853,cPa290
RETROSEQ_chr1:72913123-72913223,cPa363
RETROSEQ_chr1:72913293-72913393,cPa452
RETROSEQ_chr1:72943009-72943163,cPa452
RETROSEQ_chr1:73013237-73013348,cPa443
RETROSEQ_chr1:73032004-73032104,cPa201
RETROSEQ_chr1:730357-730457,cPa327|cPa446
RETROSEQ_chr1:73041264-73041510,cPa140
RETROSEQ_chr1:73043615-73043715,cPa391
RETROSEQ_chr1:73061621-73061725,cPa199|cPa273|cPa450|cPa482|cPa542
RETROSEQ_chr1:73086359-73086459,cPa199
RETROSEQ_chr1:73086946-73087356,BFV_NC001831
RETROSEQ_chr1:73324245-73324345,cPa140
RETROSEQ_chr1:73331292-73331392,cPa163
RETROSEQ_chr1:73342440-73342808,cPa452
RETROSEQ_chr1:73390288-73390388,cPa140
RETROSEQ_chr1:73427509-73427609,cPa220
RETROSEQ_chr1:7348029-7348410,cPa452
RETROSEQ_chr1:73623432-73623578,cPa391
RETROSEQ_chr1:7364102-7364202,cPa183|cPa199
RETROSEQ_chr1:73743026-73743126,BFV_NC001831
RETROSEQ_chr1:73826165-73826344,cPa540
RETROSEQ_chr1:738582-738682,cPa450
RETROSEQ_chr1:73893013-73893132,cPa241
RETROSEQ_chr1:73902924-73903025,cPa450
RETROSEQ_chr1:7390901-7391009,cPa241
RETROSEQ_chr1:73935901-73936098,cPa205
RETROSEQ_chr1:73949504-73949604,cPa529
RETROSEQ_chr1:73974771-73974871,cPa529
RETROSEQ_chr1:7405074-7405174,cPa201
RETROSEQ_chr1:74051161-74051261,cPa452
RETROSEQ_chr1:74052372-74052508,cPa452
RETROSEQ_chr1:74079140-74079240,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:74079463-74079563,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:74169796-74169900,cPa127
RETROSEQ_chr1:7427670-7427770,cPa140
RETROSEQ_chr1:743106-743230,cPa260
RETROSEQ_chr1:74348730-74349161,cPa452
RETROSEQ_chr1:74374262-74374362,cPa15
RETROSEQ_chr1:74378439-74378554,cPa140
RETROSEQ_chr1:74456407-74456507,cPa140
RETROSEQ_chr1:7446906-7447101,cPa452
RETROSEQ_chr1:74532772-74532872,cPa308
RETROSEQ_chr1:7463798-7463918,cPa443
RETROSEQ_chr1:74728468-74728582,cPa140
RETROSEQ_chr1:74757400-74757562,cPa101
RETROSEQ_chr1:74757592-74757719,cPa101
RETROSEQ_chr1:74834439-74834627,cPa452
RETROSEQ_chr1:74952048-74952148,cPa15
RETROSEQ_chr1:74952169-74952382,cPa140
RETROSEQ_chr1:7495779-7495879,cPa183
RETROSEQ_chr1:75001732-75001832,cPa540
RETROSEQ_chr1:75081979-75082157,cPa333
RETROSEQ_chr1:75101412-75101512,cPa391
RETROSEQ_chr1:75114972-75115080,cPa140
RETROSEQ_chr1:75126887-75126987,cPa353
RETROSEQ_chr1:75141307-75141407,cPa264
RETROSEQ_chr1:75146549-75146680,cPa142
RETROSEQ_chr1:75177205-75177305,cPa391
RETROSEQ_chr1:75204729-75204992,BFV_NC001831
RETROSEQ_chr1:7522342-7522457,cPa391
RETROSEQ_chr1:75241520-75241700,cPa333
RETROSEQ_chr1:75291521-75291682,BFV_NC001831
RETROSEQ_chr1:75330984-75331131,BFV_NC001831
RETROSEQ_chr1:75331208-75331320,BFV_NC001831
RETROSEQ_chr1:75359784-75359929,cPa140
RETROSEQ_chr1:75359943-75360047,cPa140
RETROSEQ_chr1:75460266-75460366,cPa572
RETROSEQ_chr1:75460549-75460649,cPa572
RETROSEQ_chr1:75534195-75534295,cPa452
RETROSEQ_chr1:75552334-75552434,cPa363
RETROSEQ_chr1:75571167-75571267,cPa357
RETROSEQ_chr1:75602741-75602841,cPa583
RETROSEQ_chr1:75635595-75635697,cPa183
RETROSEQ_chr1:75665343-75665443,cPa459
RETROSEQ_chr1:75715944-75716126,cPa452
RETROSEQ_chr1:75746902-75747002,cPa190
RETROSEQ_chr1:757792-757975,HERVHcons
RETROSEQ_chr1:75808218-75808318,cPa452
RETROSEQ_chr1:75894703-75894803,cPa71
RETROSEQ_chr1:75899395-75899576,cPa541
RETROSEQ_chr1:75934114-75934214,cPa529
RETROSEQ_chr1:76067123-76067244,cPa11
RETROSEQ_chr1:76094017-76094117,cPa529
RETROSEQ_chr1:76100262-76100362,cPa452
RETROSEQ_chr1:76121578-76121698,cPa14
RETROSEQ_chr1:76148444-76148544,cPa248
RETROSEQ_chr1:76207329-76207445,cPa142
RETROSEQ_chr1:76250667-76250767,cPa247
RETROSEQ_chr1:76380812-76380912,cPa582
RETROSEQ_chr1:76425148-76425327,cPa140
RETROSEQ_chr1:7643043-7643143,cPa363
RETROSEQ_chr1:76431881-76431987,cPa257
RETROSEQ_chr1:76462751-76462851,cPa101
RETROSEQ_chr1:764765-764865,cPa228
RETROSEQ_chr1:76483899-76483999,cPa14
RETROSEQ_chr1:76484102-76484202,cPa14
RETROSEQ_chr1:76493993-76494093,cPa109
RETROSEQ_chr1:76540076-76540345,cPa140
RETROSEQ_chr1:76553436-76553536,cPa18
RETROSEQ_chr1:76562445-76562559,cPa529
RETROSEQ_chr1:76663195-76663295,cPa18
RETROSEQ_chr1:76663337-76663540,cPa190
RETROSEQ_chr1:767536-767636,cPa194
RETROSEQ_chr1:7676939-7677039,cPa152
RETROSEQ_chr1:76792433-76792545,cPa157
RETROSEQ_chr1:76910856-76911006,cPa443
RETROSEQ_chr1:76929460-76929562,cPa452|cPa71
RETROSEQ_chr1:76998036-76998136,cPa220
RETROSEQ_chr1:76998198-76998318,cPa248
RETROSEQ_chr1:770243-770386,cPa228
RETROSEQ_chr1:77054427-77054760,cPa201
RETROSEQ_chr1:77119434-77119534,cPa190
RETROSEQ_chr1:77136680-77136780,MoMLV_J02255|PERV_AJ293656
RETROSEQ_chr1:77205992-77206104,cPa248
RETROSEQ_chr1:77666001-77666126,cPa391
RETROSEQ_chr1:7770161-7770335,cPa109
RETROSEQ_chr1:77761896-77762200,cPa140
RETROSEQ_chr1:77953587-77953687,cPa140
RETROSEQ_chr1:78053373-78053539,cPa452
RETROSEQ_chr1:78067470-78067585,cPa248
RETROSEQ_chr1:78075983-78076176,cPa452
RETROSEQ_chr1:781211-781633,HERVHcons
RETROSEQ_chr1:78131982-78132082,cPa273
RETROSEQ_chr1:78132116-78132302,cPa199
RETROSEQ_chr1:78132343-78132443,cPa199|cPa227|cPa273
RETROSEQ_chr1:78392771-78392893,cPa248
RETROSEQ_chr1:78575038-78575265,cPa140
RETROSEQ_chr1:78633593-78633693,cPa332
RETROSEQ_chr1:78685945-78686045,cPa452
RETROSEQ_chr1:78700302-78700500,cPa199
RETROSEQ_chr1:78837368-78837485,cPa540
RETROSEQ_chr1:78838088-78838188,cPa140
RETROSEQ_chr1:78858979-78859148,cPa140
RETROSEQ_chr1:78870298-78870420,cPa127
RETROSEQ_chr1:78903149-78903265,cPa101
RETROSEQ_chr1:78923791-78923909,cPa241
RETROSEQ_chr1:78925739-78925839,cPa140
RETROSEQ_chr1:7894505-7894605,PtERV1_AC142352
RETROSEQ_chr1:78977742-78977842,cPa363
RETROSEQ_chr1:79086809-79087071,cPa157
RETROSEQ_chr1:79102132-79102267,cPa443
RETROSEQ_chr1:79249781-79249881,cPa140
RETROSEQ_chr1:79264587-79264700,cPa140
RETROSEQ_chr1:79308163-79308263,cPa452
RETROSEQ_chr1:79345021-79345121,cPa273
RETROSEQ_chr1:79350187-79350333,cPa452
RETROSEQ_chr1:79365879-79365983,cPa14
RETROSEQ_chr1:79374962-79375155,cPa443
RETROSEQ_chr1:79400456-79400652,cPa140
RETROSEQ_chr1:79403585-79403698,cPa140
RETROSEQ_chr1:79447659-79447759,cPa482
RETROSEQ_chr1:79530347-79530447,BaEV_D10032
RETROSEQ_chr1:79558089-79558218,cPa190
RETROSEQ_chr1:7964024-7964278,cPa142
RETROSEQ_chr1:79662004-79662104,CAEV_NC001463
RETROSEQ_chr1:79675122-79675222,cPa452
RETROSEQ_chr1:79883573-79883673,cPa363
RETROSEQ_chr1:79898636-79898736,cPa248
RETROSEQ_chr1:7996827-7996927,cPa140
RETROSEQ_chr1:79994142-79994242,cPa469
RETROSEQ_chr1:8000616-8000716,cPa199
RETROSEQ_chr1:80141519-80141625,cPa529
RETROSEQ_chr1:8026840-8026940,cPa452
RETROSEQ_chr1:80486834-80487028,cPa563
RETROSEQ_chr1:80609969-80610081,cPa140
RETROSEQ_chr1:80615181-80615281,cPa446
RETROSEQ_chr1:80622842-80622956,cPa402
RETROSEQ_chr1:80718658-80718790,cPa157|cPa500
RETROSEQ_chr1:8085033-8085133,cPa264
RETROSEQ_chr1:808845-809000,cPa260
RETROSEQ_chr1:809974-810074,cPa228
RETROSEQ_chr1:810098-810374,cPa228
RETROSEQ_chr1:810459-810559,cPa228
RETROSEQ_chr1:81095347-81095470,cPa452
RETROSEQ_chr1:811654-811794,cPa228
RETROSEQ_chr1:81255898-81255998,cPa199|cPa273
RETROSEQ_chr1:8138290-8138390,cPa333
RETROSEQ_chr1:8138426-8138657,cPa333
RETROSEQ_chr1:81402499-81402599,cPa363
RETROSEQ_chr1:81417383-81417483,cPa109
RETROSEQ_chr1:81461640-81461889,cPa452
RETROSEQ_chr1:814693-814793,cPa140
RETROSEQ_chr1:81478111-81478211,cPa224|cPa285
RETROSEQ_chr1:81504877-81504997,cPa140
RETROSEQ_chr1:81563720-81563820,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:81646747-81646847,cPa176
RETROSEQ_chr1:81725422-81725522,cPa142
RETROSEQ_chr1:81812032-81812132,cPa572
RETROSEQ_chr1:81854725-81854882,cPa452
RETROSEQ_chr1:818640-818783,cPa450
RETROSEQ_chr1:818877-819146,cPa450
RETROSEQ_chr1:82131418-82131518,cPa140
RETROSEQ_chr1:82199627-82199742,cPa363
RETROSEQ_chr1:82271893-82271993,cPa15
RETROSEQ_chr1:82320404-82320504,cPa391
RETROSEQ_chr1:82396317-82396417,cPa391
RETROSEQ_chr1:82491232-82491332,cPa248
RETROSEQ_chr1:82491467-82491567,cPa140
RETROSEQ_chr1:82516326-82516426,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:82529823-82529923,HIV2_NC001722
RETROSEQ_chr1:82611117-82611217,cPa529
RETROSEQ_chr1:82668837-82668937,cPa248
RETROSEQ_chr1:82670296-82670398,cPa101
RETROSEQ_chr1:82693047-82693412,cPa183
RETROSEQ_chr1:82781503-82781607,cPa140
RETROSEQ_chr1:82841467-82841579,cPa391
RETROSEQ_chr1:8284972-8285220,cPa363
RETROSEQ_chr1:82895624-82895724,cPa285
RETROSEQ_chr1:82977153-82977280,cPa199
RETROSEQ_chr1:82981004-82981104,PERV_AJ293656
RETROSEQ_chr1:83120886-83120986,EIAV_NC001450
RETROSEQ_chr1:83123338-83123438,cPa224
RETROSEQ_chr1:83125810-83126005,cPa199|cPa227
RETROSEQ_chr1:83260506-83260706,cPa452
RETROSEQ_chr1:83261804-83261904,cPa515
RETROSEQ_chr1:83261984-83262084,cPa515
RETROSEQ_chr1:83440432-83440532,cPa529
RETROSEQ_chr1:83460905-83461005,cPa452
RETROSEQ_chr1:83512497-83512597,cPa109
RETROSEQ_chr1:83580996-83581106,cPa15
RETROSEQ_chr1:83610080-83610180,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:83651280-83651514,cPa452
RETROSEQ_chr1:83656972-83657072,CAEV_NC001463
RETROSEQ_chr1:83742590-83742720,cPa248
RETROSEQ_chr1:83779543-83779643,cPa308
RETROSEQ_chr1:8382217-8382317,cPa452
RETROSEQ_chr1:84006558-84006746,PERV_AJ293656
RETROSEQ_chr1:84108146-84108332,cPa363
RETROSEQ_chr1:84165429-84165529,cPa391
RETROSEQ_chr1:84285973-84286084,cPa183|cPa452
RETROSEQ_chr1:84351854-84351994,cPa273
RETROSEQ_chr1:84373830-84373943,cPa363
RETROSEQ_chr1:8456552-8456811,cPa183
RETROSEQ_chr1:84589887-84589987,cPa333
RETROSEQ_chr1:84612255-84612387,cPa500
RETROSEQ_chr1:84641541-84641641,cPa140
RETROSEQ_chr1:84718187-84718287,cPa363
RETROSEQ_chr1:84718401-84718501,cPa363
RETROSEQ_chr1:84720838-84720938,cPa62
RETROSEQ_chr1:84775640-84775740,cPa391
RETROSEQ_chr1:84824955-84825055,cPa452
RETROSEQ_chr1:8490060-8490180,cPa363
RETROSEQ_chr1:84907856-84907956,cPa140
RETROSEQ_chr1:84910195-84910295,cPa332
RETROSEQ_chr1:849543-849643,cPa228
RETROSEQ_chr1:84970719-84970819,cPa163
RETROSEQ_chr1:8497924-8498024,cPa402
RETROSEQ_chr1:85100664-85100784,cPa248
RETROSEQ_chr1:85118912-85119012,cPa452
RETROSEQ_chr1:85177678-85177778,cPa379
RETROSEQ_chr1:85213975-85214075,cPa391
RETROSEQ_chr1:85244379-85244527,PERV_AJ293656
RETROSEQ_chr1:85319232-85319332,cPa201
RETROSEQ_chr1:85366088-85366198,cPa257
RETROSEQ_chr1:85496432-85496671,cPa452
RETROSEQ_chr1:85568363-85568463,cPa199
RETROSEQ_chr1:85570401-85570501,cPa452
RETROSEQ_chr1:85764960-85765071,cPa140
RETROSEQ_chr1:85804629-85804729,cPa194
RETROSEQ_chr1:85815653-85815821,cPa163
RETROSEQ_chr1:85897243-85897343,MPMVs_NC001550
RETROSEQ_chr1:85980783-85980883,cPa140
RETROSEQ_chr1:86023097-86023199,cPa452
RETROSEQ_chr1:86068386-86068486,cPa224
RETROSEQ_chr1:86070379-86070487,cPa248
RETROSEQ_chr1:86186325-86186439,cPa140
RETROSEQ_chr1:8622616-8622723,RELIK_ERVK
RETROSEQ_chr1:86413363-86413509,cPa353
RETROSEQ_chr1:86511559-86511659,cPa402
RETROSEQ_chr1:86552185-86552294,cPa241
RETROSEQ_chr1:86552762-86552862,cPa224
RETROSEQ_chr1:86559343-86559443,cPa157
RETROSEQ_chr1:866215-866315,HERVHcons
RETROSEQ_chr1:86635640-86635746,cPa157
RETROSEQ_chr1:86668933-86669033,cPa443
RETROSEQ_chr1:86694103-86694203,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:86734492-86734619,cPa109
RETROSEQ_chr1:86748072-86748172,cPa140
RETROSEQ_chr1:8684242-8684352,cPa140
RETROSEQ_chr1:86926346-86926446,cPa183|cPa327
RETROSEQ_chr1:8694788-8694888,cPa450
RETROSEQ_chr1:86966424-86966529,cPa152
RETROSEQ_chr1:86994016-86994116,cPa327|cPa452
RETROSEQ_chr1:871160-871260,HERVHcons
RETROSEQ_chr1:87173200-87173306,cPa452
RETROSEQ_chr1:872158-872258,cPa228
RETROSEQ_chr1:87215857-87216086,cPa248
RETROSEQ_chr1:8725844-8725944,cPa482
RETROSEQ_chr1:87293528-87293675,cPa140
RETROSEQ_chr1:87332310-87332410,cPa15
RETROSEQ_chr1:8735766-8735906,cPa450
RETROSEQ_chr1:87370316-87370505,cPa452
RETROSEQ_chr1:87799735-87799835,cPa163
RETROSEQ_chr1:87896520-87896673,cPa157
RETROSEQ_chr1:87973197-87973297,cPa216
RETROSEQ_chr1:8800534-8800634,cPa424
RETROSEQ_chr1:8809241-8809744,cPa140
RETROSEQ_chr1:88125041-88125141,cPa157
RETROSEQ_chr1:88132238-88132338,cPa140
RETROSEQ_chr1:88242906-88243006,cPa199
RETROSEQ_chr1:8843062-8843162,cPa199
RETROSEQ_chr1:88537712-88537812,cPa363
RETROSEQ_chr1:88566445-88566545,MLV_Pmv4
RETROSEQ_chr1:88587062-88587169,cPa188
RETROSEQ_chr1:88634575-88634675,FIV_NC001482
RETROSEQ_chr1:88634714-88634814,FIV_NC001482
RETROSEQ_chr1:8863642-8863810,cPa142
RETROSEQ_chr1:88642343-88642443,cPa363
RETROSEQ_chr1:88676979-88677162,cPa540
RETROSEQ_chr1:8868361-8868461,cPa363
RETROSEQ_chr1:88697615-88697715,cPa363
RETROSEQ_chr1:88735651-88735851,HML1a_repbase_HERV_K14CI_LTR14C
RETROSEQ_chr1:8886197-8886300,cPa140
RETROSEQ_chr1:8891104-8891204,cPa183
RETROSEQ_chr1:89068479-89068579,cPa142
RETROSEQ_chr1:89190922-89191022,cPa224
RETROSEQ_chr1:89363085-89363213,BaEV_D10032
RETROSEQ_chr1:894529-894629,cPa333
RETROSEQ_chr1:89476614-89476714,cPa15
RETROSEQ_chr1:89484554-89484654,cPa140
RETROSEQ_chr1:8966156-8966256,cPa363
RETROSEQ_chr1:89809807-89809969,cPa443
RETROSEQ_chr1:8986158-8986436,cPa248
RETROSEQ_chr1:89870294-89870394,cPa140
RETROSEQ_chr1:89870682-89870782,cPa248
RETROSEQ_chr1:89870902-89871002,cPa140
RETROSEQ_chr1:89871944-89872229,PERV_AJ293656
RETROSEQ_chr1:89910551-89910651,cPa363
RETROSEQ_chr1:8993168-8993268,cPa452
RETROSEQ_chr1:9003920-9004121,cPa140
RETROSEQ_chr1:90061552-90061652,cPa140
RETROSEQ_chr1:90112012-90112112,cPa475
RETROSEQ_chr1:90112157-90112257,cPa475
RETROSEQ_chr1:90224442-90224542,cPa16
RETROSEQ_chr1:9025130-9025252,cPa15
RETROSEQ_chr1:9025299-9025399,cPa15
RETROSEQ_chr1:9028300-9028400,cPa391
RETROSEQ_chr1:90373464-90373643,cPa391
RETROSEQ_chr1:90397469-90397569,cPa452
RETROSEQ_chr1:90580403-90580709,cPa363
RETROSEQ_chr1:90633221-90633321,cPa163
RETROSEQ_chr1:90691485-90691630,cPa183|cPa452
RETROSEQ_chr1:90691760-90691967,cPa469
RETROSEQ_chr1:90700642-90700742,cPa452
RETROSEQ_chr1:90731349-90731569,cPa248
RETROSEQ_chr1:90875605-90875797,cPa140
RETROSEQ_chr1:90900569-90900812,cPa248
RETROSEQ_chr1:90977209-90977349,cPa142
RETROSEQ_chr1:9101445-9101545,cPa163
RETROSEQ_chr1:91038898-91038998,cPa391
