locus,erv.assigned,erv.assigned.freq,n.erv.called,actual.stop,actual.start,all.hits.ervs,all.hits.counts,locus.width,mapped.width
chr10-912609_912822,cPa285-cPa75-hybrid_cPa62-cPa75-hybrid,0.333333333333333,5,912789,912652,cPa285_cPa285-cPa75-hybrid_cPa62_cPa62-cPa75-hybrid_cPa75,1_5_2_5_2,213,137
chr10-946442_946549,cPa62,0.5,4,946497,946479,cPa205-cPa285-hybrid_cPa260-cPa285-hybrid_cPa62_cPa62-unknown,1_1_3_1,107,18
chr10-946700_946802,cPa62,1,1,946750,946750,cPa62,1,102,0
chr11-10416739_10416841,cPa75,1,1,10416789,10416784,cPa75,2,102,5
chr11-10417612_10417714,cPa75,1,1,10417662,10417662,cPa75,1,102,0
chr11-10425906_10426021,cPa75,1,1,10425969,10425953,cPa75,9,115,16
chr11-10631828_10631930,cPa62,1,1,10631926,10631878,cPa62,3,102,48
chr11-10981592_10981694,cPa200_cPa463,0.5,2,10981690,10981642,cPa200_cPa463,1_1,102,48
chr11-10985443_10985545,cPa62,0.869565217391304,3,10985533,10985465,cPa254-unknown_cPa62_cPa62-unknown,2_20_1,102,68
chr11-11784091_11784193,cPa62,0.925925925925926,2,11784146,11784121,cPa62_S71_repbase_HERVS71_LTR6A-cPa62-hybrid,25_2,102,25
chr11-11948894_11948996,cPa419,1,1,11948944,11948944,cPa419,1,102,0
chr11-11992949_11993051,cPa583,0.60377358490566,6,11993034,11992990,cPa251_cPa358_cPa358-cPa251-hybrid_cPa358-unknown_cPa583_cPa75-cPa251-hybrid,1_30_6_4_64_1,102,44
chr11-12340528_12340630,cPa15,0.541666666666667,4,12340586,12340565,cPa118_cPa118-cPa248-hybrid_cPa118-cPa268-hybrid_cPa15,7_1_3_13,102,21
chr11-15009999_15010101,cPa459,0.416666666666667,6,15010065,15010048,cPa308_cPa327_cPa424_cPa424-cPa196-hybrid_cPa459_cPa459-cPa196-hybrid,1_1_1_2_5_2,102,17
chr11-15106118_15106220,cPa419,1,1,15106168,15106168,cPa419,1,102,0
chr11-1530980_1531140,cPa199,0.833333333333333,2,1531139,1530992,cPa199_cPa199-unknown,10_2,160,147
chr11-1531157_1531259,cPa199,0.9,2,1531256,1531160,cPa199_cPa199-unknown,9_1,102,96
chr11-15590699_15590801,cPa62,1,1,15590756,15590732,cPa62,5,102,24
chr11-15937186_15937288,cPa15,0.4,4,15937236,15937217,cPa118_cPa118-unknown_cPa15_cPa443,1_1_2_1,102,19
chr11-16030715_16030990,cPa425,0.333333333333333,6,16030938,16030716,cPa174_cPa254_cPa419_cPa425_cPa425-cPa174-hybrid_cPa47,7_4_1_12_1_11,275,222
chr11-16234474_16234585,cPa16-cPa363-hybrid_cPa400-cPa363-hybrid,0.32,7,16234538,16234481,cPa16_cPa16-cPa363-hybrid_cPa16-unknown_cPa182-cPa363-hybrid_cPa400-cPa363-hybrid_cPa419_cPa527-cPa363-hybrid,1_8_3_1_8_3_1,111,57
chr11-16401960_16402380,HERV-W_repbase_HERV17_LTR17,0.696969696969697,17,16402379,16401994,cPa327-HERV-W_repbase_HERV17_LTR17-hybrid_cPa62_cPa71-unknown_cPa75_cPa75-cPa223-hybrid_cPa75-cPa446-hybrid_cPa75-cPa452-hybrid_cPa75-cPa62-hybrid_cPa75-HERV-W_repbase_HERV17_LTR17-hybrid_cPa75-unknown_HERV-W_repbase_HERV17_LTR17_HERV-W_repbase_HERV17_LTR17-cPa223-hybrid_HERV-W_repbase_HERV17_LTR17-cPa363-hybrid_HERV-W_repbase_HERV17_LTR17-cPa379-hybrid_HERV-W_repbase_HERV17_LTR17-unknown_KoRV_AF151794_PERV_AJ293656-cPa379-hybrid,1_1_1_9_1_1_1_1_5_1_69_1_1_1_2_2_1,420,385
chr11-16467695_16467871,cPa345,0.25,18,16467864,16467732,cPa199_cPa199-cPa223-hybrid_cPa199-cPa273-hybrid_cPa199-cPa542-hybrid_cPa199-unknown_cPa223_cPa223-cPa345-hybrid_cPa227_cPa227-cPa199-hybrid_cPa227-unknown_cPa273_cPa345_cPa345-cPa62-hybrid_cPa450_cPa450-cPa223-hybrid_cPa553_cPa553-cPa62-hybrid_cPa553-unknown,9_1_1_1_1_7_1_10_1_1_10_20_1_3_1_10_1_1,176,132
chr11-16468418_16468615,cPa62,0.985714285714286,2,16468609,16468435,cPa62_cPa62-unknown,69_1,197,174
chr11-16514632_16514734,cPa62,1,1,16514682,16514682,cPa62,1,102,0
chr11-16514803_16514905,cPa62,1,1,16514853,16514843,cPa62,2,102,10
chr11-16609698_16609800,cPa62,0.933333333333333,2,16609764,16609710,cPa419_cPa62,1_14,102,54
chr11-16621857_16621959,cPa62,1,1,16621907,16621906,cPa62,2,102,1
chr11-16662435_16662537,HERV-W_repbase_HERV17_LTR17,0.909090909090909,2,16662507,16662440,HERV-F_repbase_HERVFH19I_LTR19A_HERV-W_repbase_HERV17_LTR17,1_10,102,67
chr11-16662709_16663351,HERV-W_repbase_HERV17_LTR17,0.948275862068966,4,16663347,16662730,cPa75_cPa75-HERV-W_repbase_HERV17_LTR17-hybrid_cPa75-KoRV_AF151794-hybrid_HERV-W_repbase_HERV17_LTR17,1_1_1_55,642,617
chr11-16674873_16674982,cPa450,0.358974358974359,11,16674948,16674893,cPa199-unknown_cPa227_cPa227-cPa223-hybrid_cPa227-unknown_cPa450_cPa450-unknown_cPa542-cPa223-hybrid_cPa542-unknown_cPa553_cPa553-cPa223-hybrid_cPa553-unknown,1_3_1_1_14_10_1_1_2_1_4,109,55
chr11-16682693_16682799,cPa585,0.5,4,16682754,16682736,cPa583-cPa190-hybrid_cPa583-unknown_cPa585_cPa585-cPa542-hybrid,1_1_3_1,106,18
chr11-16959619_16959721,cPa199,0.545454545454545,5,16959713,16959638,cPa109-unknown_cPa199_cPa199-cPa109-hybrid_cPa199-unknown_cPa482,1_6_1_2_1,102,75
chr11-17048557_17048704,cPa413,0.7,3,17048677,17048577,cPa413_cPa413-unknown_cPa526-unknown,28_4_8,147,100
chr11-17106899_17107001,cPa62,1,1,17106950,17106942,cPa62,8,102,8
chr11-17324027_17324223,cPa62,0.958333333333333,4,17324171,17324055,cPa285_cPa285-unknown_cPa62_cPa62-unknown,1_1_69_1,196,116
chr11-17481653_17481755,cPa2,1,1,17481703,17481703,cPa2,1,102,0
chr11-17551205_17551313,cPa456,0.454545454545455,6,17551267,17551254,cPa117-cPa452-hybrid_cPa363_cPa363-cPa456-hybrid_cPa452-cPa456-hybrid_cPa452-unknown_cPa456,1_2_1_1_1_5,108,13
chr11-17591363_17591465,cPa75,1,1,17591413,17591413,cPa75,1,102,0
chr11-17591488_17591724,HERV-W_repbase_HERV17_LTR17,0.682926829268293,3,17591722,17591530,cPa75_cPa75-cPa62-hybrid_HERV-W_repbase_HERV17_LTR17,36_3_84,236,192
chr11-17593755_17593857,cPa419,1,1,17593843,17593805,cPa419,2,102,38
chr11-17614171_17614273,HERV-W_repbase_HERV17_LTR17,1,1,17614221,17614221,HERV-W_repbase_HERV17_LTR17,1,102,0
chr11-17614324_17614426,cPa75-unknown_HERV-W_repbase_HERV17_LTR17-cPa75-hybrid,0.5,2,17614379,17614374,cPa75-unknown_HERV-W_repbase_HERV17_LTR17-cPa75-hybrid,1_1,102,5
chr11-17637222_17637364,cPa345_cPa553,0.5,2,17637312,17637272,cPa345_cPa553,1_1,142,40
chr11-17644889_17644991,cPa227-cPa308-hybrid,0.307692307692308,8,17644991,17644910,cPa15-FIV_NC001482-hybrid_cPa163_cPa199-cPa308-hybrid_cPa227-cPa308-hybrid_cPa363-cPa308-hybrid_cPa419_cPa61-cPa308-hybrid_HERV-W_repbase_HERV17_LTR17-cPa308-hybrid,1_1_2_4_1_2_1_1,102,81
chr11-17668766_17668868,cPa223,1,1,17668816,17668816,cPa223,1,102,0
chr11-17708592_17708694,cPa357-cPa553-hybrid,0.5,4,17708660,17708617,cPa353-cPa419-hybrid_cPa357-cPa199-hybrid_cPa357-cPa553-hybrid_cPa357-unknown,1_1_3_1,102,43
chr11-17720611_17720713,cPa308-cPa404-hybrid,1,1,17720661,17720661,cPa308-cPa404-hybrid,1,102,0
chr11-17721536_17721638,cPa308-cPa174-hybrid_cPa308-cPa254-hybrid_cPa450,0.333333333333333,3,17721586,17721535,cPa308-cPa174-hybrid_cPa308-cPa254-hybrid_cPa450,1_1_1,102,51
chr11-17722096_17722280,cPa254,0.266666666666667,10,17722239,17722134,cPa174_cPa254_cPa308-cPa174-hybrid_cPa308-cPa254-hybrid_cPa308-cPa425-hybrid_cPa308-cPa47-hybrid_cPa392-cPa425-hybrid_cPa404_cPa425_cPa47,1_8_1_2_2_5_1_6_2_2,184,105
chr11-17742128_17742230,cPa452,0.388888888888889,8,17742193,17742147,cPa260-cPa71-hybrid_cPa363_cPa363-cPa176-hybrid_cPa363-cPa452-hybrid_cPa452_cPa452-cPa363-hybrid_cPa452-cPa71-hybrid_cPa71,1_4_1_1_7_1_1_2,102,46
chr11-17770565_17770667,cPa56-unknown,0.357142857142857,8,17770615,17770567,cPa357-cPa106-hybrid_cPa357-cPa345-hybrid_cPa357-unknown_cPa56-cPa345-hybrid_cPa56-cPa482-hybrid_cPa56-cPa542-hybrid_cPa56-cPa553-hybrid_cPa56-unknown,1_1_2_2_1_1_1_5,102,48
chr11-17801826_17801997,cPa50-cPa333-hybrid,0.4,4,17801945,17801876,cPa118-cPa542-hybrid_cPa333_cPa50-cPa323-hybrid_cPa50-cPa333-hybrid,1_1_1_2,171,69
chr11-17809338_17809477,cPa223-cPa446-hybrid_cPa446,0.214285714285714,8,17809433,17809378,cPa183-cPa446-hybrid_cPa223-cPa379-hybrid_cPa223-cPa446-hybrid_cPa446_cPa452_cPa452-cPa183-hybrid_cPa452-cPa446-hybrid_cPa452-unknown,1_1_3_3_2_2_1_1,139,55
chr11-17836250_17836352,cPa379-cPa446-hybrid,0.3,7,17836349,17836300,cPa379_cPa379-cPa363-hybrid_cPa379-cPa446-hybrid_cPa379-cPa452-hybrid_cPa379-unknown_cPa446_cPa452,4_1_6_1_3_1_4,102,49
chr11-17839235_17839354,cPa15,0.727272727272727,4,17839326,17839279,cPa118_cPa15_cPa15-cPa118-hybrid_cPa268,2_16_1_3,119,47
chr11-17839397_17839499,cPa323,1,1,17839447,17839447,cPa323,1,102,0
chr11-17856493_17856595,cPa345,0.666666666666667,2,17856583,17856543,cPa345_cPa345-cPa62-hybrid,2_1,102,40
chr11-17857091_17857193,cPa345,1,1,17857166,17857099,cPa345,5,102,67
chr11-17858227_17858432,cPa345_cPa62,0.404255319148936,6,17858425,17858232,cPa199-cPa345-hybrid_cPa285_cPa345_cPa62_cPa62-cPa345-hybrid_cPa62-unknown,1_1_19_19_1_6,205,193
chr11-17858817_17858919,cPa199-unknown,0.75,3,17858889,17858816,cPa199-unknown_cPa345_cPa450-unknown,9_2_1,102,73
chr11-17939489_17939591,cPa482_cPa75,0.5,2,17939539,17939522,cPa482_cPa75,1_1,102,17
chr11-17939630_17939732,cPa482-cPa75-hybrid,1,1,17939680,17939676,cPa482-cPa75-hybrid,2,102,4
chr11-17981670_17981786,cPa540,0.4,6,17981741,17981716,cPa241_cPa515-cPa127-hybrid_cPa530_cPa530-cPa241-hybrid_cPa531-cPa127-hybrid_cPa540,2_1_1_1_1_4,116,25
chr11-18146491_18146593,cPa345,1,1,18146541,18146491,cPa345,2,102,50
chr11-18150535_18150637,cPa273_cPa360_cPa450,0.333333333333333,3,18150585,18150534,cPa273_cPa360_cPa450,1_1_1,102,51
chr11-18190425_18190569,cPa75,0.75,2,18190562,18190465,cPa75_cPa75-unknown,3_1,144,97
chr11-18190911_18191062,cPa75,0.666666666666667,2,18191010,18190946,cPa75_cPa75-cPa260-hybrid,2_1,151,64
chr11-18191244_18191451,cPa75,0.947368421052632,2,18191440,18191249,cPa543-unknown_cPa75,1_18,207,191
chr11-18254827_18254929,cPa260,1,1,18254925,18254844,cPa260,15,102,81
chr11-18359829_18359941,cPa118_cPa15,0.5,2,18359889,18359879,cPa118_cPa15,1_1,112,10
chr11-18539455_18539557,cPa75,1,1,18539505,18539505,cPa75,1,102,0
chr11-18652563_18652674,cPa67,1,1,18652622,18652613,cPa67,2,111,9
chr11-18652699_18652801,cPa67,1,1,18652797,18652701,cPa67,11,102,96
chr11-18700509_18700754,cPa117,0.769230769230769,2,18700744,18700559,cPa117_cPa452,10_3,245,185
chr11-18862031_18862133,cPa117,1,1,18862081,18862081,cPa117,1,102,0
chr11-18929385_18929487,cPa541,0.625,4,18929457,18929407,cPa14_cPa4-cPa14-hybrid_cPa4-cPa541-hybrid_cPa541,1_1_1_5,102,50
chr11-18942048_18942150,cPa117,0.9,2,18942148,18942094,cPa117_cPa452,27_3,102,54
chr11-18989633_18989735,cPa47,0.270833333333333,10,18989723,18989632,cPa174_cPa174-cPa404-hybrid_cPa174-cPa47-hybrid_cPa174-unknown_cPa254_cPa254-cPa404-hybrid_cPa254-cPa47-hybrid_cPa425_cPa425-cPa47-hybrid_cPa47,1_2_5_3_12_1_2_7_2_13,102,91
chr11-19042046_19042148,cPa402_cPa74-unknown,0.5,2,19042096,19042096,cPa402_cPa74-unknown,1_1,102,0
chr11-19202536_19202638,cPa62,1,1,19202586,19202580,cPa62,2,102,6
chr11-19205138_19205240,cPa363,1,1,19205188,19205188,cPa363,1,102,0
chr11-19418615_19418717,cPa419,1,1,19418671,19418665,cPa419,2,102,6
chr11-19420859_19420961,cPa419,1,1,19420909,19420909,cPa419,1,102,0
chr11-19425445_19425547,cPa419_cPa62,0.5,2,19425520,19425495,cPa419_cPa62,1_1,102,25
chr11-19559778_19559997,cPa62,1,1,19559965,19559800,cPa62,23,219,165
chr11-19637746_19637848,cPa572,1,1,19637796,19637796,cPa572,1,102,0
chr11-19940515_19940617,cPa75,1,1,19940565,19940565,cPa75,1,102,0
chr11-19941581_19941683,cPa62,0.478260869565217,4,19941631,19941603,cPa62_cPa62-cPa285-hybrid_cPa62-cPa75-hybrid_cPa75,11_1_6_5,102,28
chr11-20154200_20154312,cPa164,0.5,3,20154260,20154238,cPa164_cPa199-cPa164-hybrid_cPa199-cPa256-hybrid,2_1_1,112,22
chr11-20154498_20154600,cPa164,1,1,20154548,20154548,cPa164,1,102,0
chr11-20193550_20193652,cPa492,1,1,20193600,20193600,cPa492,1,102,0
chr11-20293770_20293872,cPa543,1,1,20293820,20293820,cPa543,1,102,0
chr11-20488172_20488274,HERV-W_repbase_HERV17_LTR17,0.75,2,20488230,20488219,HERV-F_repbase_HERVFH19I_LTR19A-cPa75-hybrid_HERV-W_repbase_HERV17_LTR17,1_3,102,11
chr11-20488523_20488637,HERV-W_repbase_HERV17_LTR17,1,1,20488621,20488573,HERV-W_repbase_HERV17_LTR17,3,114,48
chr11-20532510_20532612,HML4_repbase_HERVK13I_LTR13-unknown,1,1,20532560,20532560,HML4_repbase_HERVK13I_LTR13-unknown,1,102,0
chr11-20532787_20532953,HML4_repbase_HERVK13I_LTR13-unknown,1,1,20532905,20532837,HML4_repbase_HERVK13I_LTR13-unknown,4,166,68
chr11-20673776_20673878,cPa118,0.4375,5,20673868,20673799,cPa118_cPa118-cPa140-hybrid_cPa118-cPa268-hybrid_cPa15_cPa15-cPa443-hybrid,7_1_2_5_1,102,69
chr11-20813668_20813778,cPa287-cPa391-hybrid_cPa293,0.5,2,20813726,20813718,cPa287-cPa391-hybrid_cPa293,1_1,110,8
chr11-20853369_20853480,cPa228,0.75,3,20853428,20853370,cPa106_cPa228_cPa228-unknown,2_9_1,111,58
chr11-2307239_2307341,cPa62,1,1,2307289,2307289,cPa62,1,102,0
chr11-2307379_2307640,cPa62,1,1,2307588,2307429,cPa62,8,261,159
chr11-2308605_2308707,cPa62,1,1,2308655,2308655,cPa62,1,102,0
chr11-2338776_2338878,cPa452-cPa62-hybrid,1,1,2338826,2338826,cPa452-cPa62-hybrid,1,102,0
chr11-2374520_2374973,cPa345-cPa62-hybrid,0.631578947368421,4,2374921,2374570,cPa345-cPa62-hybrid_cPa62_cPa75_cPa75-cPa62-hybrid,12_5_1_1,453,351
chr11-2407414_2407516,cPa539,1,1,2407464,2407464,cPa539,1,102,0
chr11-2630750_2630852,cPa75,1,1,2630800,2630797,cPa75,2,102,3
chr11-2630859_2630961,cPa75,1,1,2630925,2630909,cPa75,4,102,16
chr11-2631133_2631235,cPa75,1,1,2631183,2631183,cPa75,1,102,0
chr11-2631597_2631699,cPa75,1,1,2631647,2631608,cPa75,2,102,39
chr11-2632078_2632238,cPa75,0.75,2,2632186,2632128,cPa260-cPa75-hybrid_cPa75,1_3,160,58
chr11-2632363_2632465,cPa260-cPa75-hybrid,0.75,2,2632413,2632401,cPa260-cPa75-hybrid_cPa260-unknown,3_1,102,12
chr11-2674530_2674690,cPa75,0.454545454545455,8,2674674,2674562,cPa113_cPa113-cPa75-hybrid_cPa260_cPa260-cPa113-hybrid_cPa260-cPa62-hybrid_cPa293-cPa62-hybrid_cPa75_cPa75-cPa62-hybrid,5_1_3_4_3_3_20_5,160,112
chr11-2674786_2674888,cPa75,0.666666666666667,5,2674856,2674819,cPa260-cPa113-hybrid_cPa260-cPa62-hybrid_cPa260-unknown_cPa75_cPa75-unknown,1_1_1_8_1,102,37
chr11-2800658_2800783,cPa62,1,1,2800769,2800684,cPa62,30,125,85
chr11-2800810_2800954,cPa62,0.777777777777778,4,2800949,2800818,cPa419_cPa62_cPa62-cPa285-hybrid_cPa62-unknown,1_14_1_2,144,131
chr11-2956588_2956849,cPa539,0.916666666666667,2,2956848,2956591,cPa539_cPa539-unknown,11_1,261,257
chr11-2962790_2962892,cPa260_WDSV_NC001867,0.333333333333333,5,2962853,2962832,cPa260_cPa260-unknown_EIAV_NC001450_EIAV_NC001450-WDSV_NC001867-hybrid_WDSV_NC001867,3_1_1_1_3,102,21
chr11-3381472_3381574,cPa539,1,1,3381522,3381522,cPa539,1,102,0
chr11-3460389_3460491,cPa62,0.666666666666667,2,3460477,3460439,cPa62_cPa62-unknown,2_1,102,38
chr11-3497324_3497462,cPa379,0.375,5,3497428,3497341,cPa16_cPa357-cPa183-hybrid_cPa379_cPa379-cPa71-hybrid_cPa379-unknown,2_1_3_1_1,138,87
chr11-3603757_3603923,cPa75_cPa75-unknown,0.5,2,3603871,3603807,cPa75_cPa75-unknown,2_2,166,64
chr11-3617110_3617212,cPa62,0.833333333333333,2,3617206,3617148,cPa62_cPa62-unknown,10_2,102,58
chr11-3624639_3624950,cPa285,0.222222222222222,11,3624928,3624689,cPa173_cPa285_cPa293_cPa293-cPa456-hybrid_cPa456_cPa62-cPa109-hybrid_cPa62-cPa173-hybrid_cPa62-cPa285-hybrid_cPa62-cPa456-hybrid_cPa62-unknown_WDSV_NC001867,4_6_1_1_2_3_1_1_3_4_1,311,239
chr11-3721864_3721966,cPa62,0.875,2,3721936,3721889,cPa539_cPa62,1_7,102,47
chr11-474560_474662,cPa75,0.388888888888889,8,474651,474563,cPa62_cPa62-unknown_cPa71-cPa62-hybrid_cPa75_cPa75-cPa62-hybrid_cPa75-unknown_HERV-W_repbase_HERV17_LTR17_HERV-W_repbase_HERV17_LTR17-cPa62-hybrid,1_1_2_7_2_1_3_1,102,88
chr11-5845531_5845644,cPa450,0.4,12,5845614,5845562,cPa227-cPa223-hybrid_cPa273-cPa199-hybrid_cPa273-cPa223-hybrid_cPa273-cPa482-hybrid_cPa450_cPa450-cPa345-hybrid_cPa542-cPa199-hybrid_cPa542-cPa345-hybrid_cPa542-cPa482-hybrid_cPa553_cPa553-cPa223-hybrid_cPa553-cPa345-hybrid,1_1_1_3_16_1_2_1_1_10_2_1,113,52
chr11-5986197_5986372,cPa553,0.388888888888889,15,5986346,5986214,cPa199_cPa223-cPa227-hybrid_cPa223-cPa273-hybrid_cPa223-cPa450-hybrid_cPa223-cPa542-hybrid_cPa223-cPa553-hybrid_cPa223-unknown_cPa227-cPa273-hybrid_cPa450_cPa482-unknown_cPa553_cPa553-cPa273-hybrid_cPa553-cPa450-hybrid_cPa553-cPa542-hybrid_cPa553-unknown,3_1_9_2_4_1_1_1_2_1_21_3_1_2_2,175,132
chr11-6126127_6126229,cPa62,1,1,6126177,6126177,cPa62,1,102,0
chr11-6215277_6215449,cPa62,1,1,6215397,6215327,cPa62,2,172,70
chr11-6357623_6357725,cPa75-unknown,1,1,6357698,6357639,cPa75-unknown,19,102,59
chr11-6576726_6576954,cPa75,0.388888888888889,5,6576902,6576776,cPa293_cPa293-unknown_cPa62_cPa75_cPa75-unknown,1_2_6_7_2,228,126
chr11-6576985_6577378,cPa62,0.542168674698795,9,6577376,6576988,cPa293_cPa293-cPa285-hybrid_cPa293-cPa62-hybrid_cPa293-cPa75-hybrid_cPa293-unknown_cPa62_cPa75_cPa75-cPa62-hybrid_cPa75-unknown,2_1_3_2_3_45_16_6_5,393,388
chr11-6831967_6832069,cPa469,1,1,6832017,6832017,cPa469,1,102,0
chr11-8434457_8434559,cPa62,0.941176470588235,2,8434545,8434476,cPa62_cPa62-cPa75-hybrid,16_1,102,69
chr11-8648098_8648212,cPa205-cPa542-hybrid_cPa363_cPa452-cPa542-hybrid_cPa456,0.25,4,8648160,8648148,cPa205-cPa542-hybrid_cPa363_cPa452-cPa542-hybrid_cPa456,1_1_1_1,114,12
chr11-8771036_8771138,cPa16_cPa363_cPa452_cPa71,0.25,4,8771086,8771071,cPa16_cPa363_cPa452_cPa71,1_1_1_1,102,15
chr11-8826247_8826349,cPa15,1,1,8826297,8826297,cPa15,1,102,0
chr11-9777701_9777803,cPa62,0.763157894736842,4,9777761,9777743,cPa285-cPa254-hybrid_cPa62_cPa62-cPa254-hybrid_cPa62-unknown,1_29_4_4,102,18
chr11-9921005_9921107,cPa113,0.538461538461538,7,9921101,9921044,cPa113_cPa113-cPa71-hybrid_cPa113-cPa75-hybrid_cPa71_cPa71-cPa75-hybrid_cPa75_PERVC_HM159246,14_1_6_1_1_2_1,102,57
chr12-10203433_10203535,cPa109_cPa199,0.5,2,10203483,10203481,cPa109_cPa199,2_2,102,2
chr12-10280108_10280210,WDSV_NC001867,0.857142857142857,2,10280168,10280112,WDSV_NC001867_WDSV_NC001867-cPa62-hybrid,6_1,102,56
chr12-10302384_10302522,cPa75,0.625,5,10302512,10302434,cPa113_cPa260-cPa62-hybrid_cPa293_cPa75_cPa75-cPa62-hybrid,1_2_3_15_3,138,78
chr12-10329823_10329925,cPa62-cPa75-hybrid,0.444444444444444,3,10329892,10329825,cPa62-cPa75-hybrid_cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_cPa75,4_2_3,102,67
chr12-10330130_10330251,cPa62-cPa75-hybrid_cPa62-HERV-W_repbase_HERV17_LTR17-hybrid,0.363636363636364,4,10330227,10330171,cPa62-cPa75-hybrid_cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_cPa75_HERV-W_repbase_HERV17_LTR17,8_8_2_4,121,56
chr12-10351095_10351200,cPa118_cPa15,0.333333333333333,4,10351181,10351145,cPa118_cPa15_cPa443-cPa125-hybrid_cPa443-cPa248-hybrid,2_2_1_1,105,36
chr12-10665500_10665602,cPa113-unknown_PERVC_HM159246-cPa62-hybrid,0.5,2,10665577,10665550,cPa113-unknown_PERVC_HM159246-cPa62-hybrid,1_1,102,27
chr12-10789575_10789677,cPa75-unknown,0.846153846153846,3,10789625,10789574,cPa75-cPa260-hybrid_cPa75-cPa308-hybrid_cPa75-unknown,1_1_11,102,51
chr12-1139281_1139390,cPa254,0.666666666666667,3,1139338,1139331,cPa254_cPa254-unknown_cPa395,8_2_2,109,7
chr12-1147900_1148020,cPa395,1,1,1147968,1147905,cPa395,5,120,63
chr12-11487264_11487372,cPa452,0.474074074074074,8,11487358,11487269,cPa16_cPa176_cPa363_cPa363-cPa16-hybrid_cPa363-cPa71-hybrid_cPa363-unknown_cPa452_cPa71,1_1_43_1_2_1_64_22,108,89
chr12-1154193_1154431,cPa107-unknown,1,1,1154420,1154242,cPa107-unknown,7,238,178
chr12-1157519_1157621,cPa413-cPa254-hybrid_cPa413-MSFV_NC010819-hybrid,0.5,2,1157569,1157569,cPa413-cPa254-hybrid_cPa413-MSFV_NC010819-hybrid,1_1,102,0
chr12-1157769_1157872,cPa413-MSFV_NC010819-hybrid,0.333333333333333,6,1157820,1157819,cPa413-cPa254-hybrid_cPa413-MSFV_NC010819-hybrid_cPa413-PRIMA41_repbase_PRIMA41_MER41A-hybrid_cPa419_cPa450-cPa254-hybrid_HML1a_repbase_HERV-K14CI_LTR14C-cPa254-hybrid,1_3_1_1_2_1,103,1
chr12-1160859_1160961,cPa587,0.538461538461538,6,1160952,1160861,cPa205-cPa75-hybrid_cPa357_cPa363_cPa452-unknown_cPa587_cPa587-unknown,1_2_1_1_7_1,102,91
chr12-1160980_1161480,cPa587,0.250720461095101,33,1161429,1161017,cPa308_cPa308-cPa413-hybrid_cPa308-cPa75-hybrid_cPa357_cPa357-cPa413-hybrid_cPa357-cPa587-hybrid_cPa357-cPa75-hybrid_cPa363_cPa363-cPa413-hybrid_cPa363-cPa456-hybrid_cPa363-cPa587-hybrid_cPa363-cPa75-hybrid_cPa363-unknown_cPa419_cPa425-cPa75-hybrid_cPa452_cPa452-cPa357-hybrid_cPa452-cPa363-hybrid_cPa452-cPa413-hybrid_cPa452-cPa587-hybrid_cPa452-cPa75-hybrid_cPa452-unknown_cPa456_cPa456-cPa413-hybrid_cPa456-cPa75-hybrid_cPa587_cPa587-cPa357-hybrid_cPa587-cPa413-hybrid_cPa587-cPa452-hybrid_cPa587-unknown_cPa75_HERV-W_repbase_HERV17_LTR17-cPa413-hybrid_HML7_repbase_HERVK11DI_MER11D-cPa587-hybrid,12_2_2_7_22_1_4_43_25_1_2_4_5_2_1_59_1_1_15_3_3_1_11_5_2_87_1_6_1_3_12_2_1,500,412
chr12-1162154_1162264,cPa357_cPa452-cPa413-hybrid,0.3125,7,1162253,1162180,cPa357_cPa363-cPa413-hybrid_cPa419_cPa425-cPa413-hybrid_cPa452_cPa452-cPa413-hybrid_cPa587-cPa413-hybrid,5_2_1_1_1_5_1,110,73
chr12-1162409_1162578,cPa413,0.781818181818182,6,1162531,1162411,cPa357_cPa363-cPa413-hybrid_cPa413_cPa452-cPa413-hybrid_cPa456-cPa413-hybrid_cPa587-cPa413-hybrid,2_4_43_3_1_2,169,120
chr12-1189775_1190235,cPa413,0.962655601659751,4,1190233,1189825,CAEV_NC001463-cPa75-hybrid_CAEV_NC001463-unknown_cPa413_cPa425-cPa75-hybrid,5_1_232_3,460,408
chr12-1190255_1190410,cPa413,1,1,1190406,1190271,cPa413,66,155,135
chr12-1216006_1216108,cPa61,0.5,3,1216096,1216044,cPa205-cPa357-hybrid_cPa339-cPa395-hybrid_cPa61,1_1_2,102,52
chr12-1218844_1218976,cPa395-cPa539-hybrid,1,1,1218924,1218894,cPa395-cPa539-hybrid,6,132,30
chr12-1219481_1219583,cPa395-cPa539-hybrid,1,1,1219531,1219531,cPa395-cPa539-hybrid,1,102,0
chr12-1220709_1220822,ALV_NC001408-cPa539-hybrid,1,1,1220770,1220759,ALV_NC001408-cPa539-hybrid,4,113,11
chr12-12318075_12318177,cPa62,1,1,12318143,12318125,cPa62,8,102,18
chr12-12407171_12407323,RELIK_ERVK,0.952380952380952,2,12407293,12407202,RELIK_ERVK_RELIK_ERVK-unknown,20_1,152,91
chr12-1278340_1278442,cPa539-unknown,1,1,1278390,1278390,cPa539-unknown,1,102,0
chr12-1283239_1283341,cPa413-MMTV_NC001503-hybrid_cPa545-cPa285-hybrid,0.5,2,1283289,1283262,cPa413-MMTV_NC001503-hybrid_cPa545-cPa285-hybrid,1_1,102,27
chr12-1283881_1283983,cPa545-cPa285-hybrid,1,1,1283931,1283931,cPa545-cPa285-hybrid,1,102,0
